Age,Gender,WatchHours,FavoriteGenre,Country,Rating
59,Female,27,Fantasy,Mongolia,2.4
28,Female,23,Romance,Spain,1.2
50,Male,22,Action,Mongolia,3.0
49,Male,9,Drama,China,4.1
22,Male,1,Drama,USA,4.3
55,Female,32,Animation,Mongolia,2.4
18,Female,24,Thriller,USA,3.7
55,Female,18,Sci-Fi,Mongolia,1.4
32,Female,12,Fantasy,Italy,1.1
50,Male,16,Comedy,China,2.0
45,Male,14,Comedy,Korean,1.8
23,Male,21,Comedy,Germany,2.7
59,Female,8,Action,Mongolia,2.4
32,Female,30,Comedy,India,5.0
53,Male,37,Thriller,USA,1.6
58,Female,32,Comedy,China,3.1
31,Male,38,Comedy,Spain,1.0
19,Male,34,Fantasy,Mongolia,3.6
49,Male,3,Thriller,Japan,1.1
35,Male,3,Sci-Fi,Korean,4.6
39,Female,13,Action,Mongolia,1.9
58,Male,13,Action,Japan,2.0
45,Male,36,Sci-Fi,India,3.1
57,Female,18,Sci-Fi,France,2.1
53,Male,6,Comedy,Japan,1.4
25,Female,1,Documentary,India,3.3
42,Male,22,Documentary,Spain,4.9
35,Female,4,Thriller,Japan,2.6
47,Female,2,Drama,Germany,3.2
58,Male,9,Fantasy,France,1.3
42,Male,12,Animation,Spain,4.2
58,Female,20,Drama,Mongolia,2.3
50,Male,15,Horror,India,3.3
31,Male,29,Drama,France,2.0
38,Female,4,Thriller,Spain,1.8
44,Male,6,Drama,India,4.1
35,Male,24,Fantasy,USA,3.3
43,Male,6,Drama,Mongolia,3.0
37,Male,7,Drama,France,3.6
18,Female,21,Sci-Fi,China,2.3
39,Male,7,Documentary,Mongolia,1.6
31,Male,36,Comedy,Mongolia,2.2
48,Male,28,Documentary,China,1.8
42,Female,39,Animation,Mongolia,2.6
21,Male,3,Action,Korean,2.9
33,Male,17,Comedy,China,4.1
26,Female,36,Sci-Fi,France,3.6
18,Male,21,Thriller,Japan,2.1
44,Female,16,Action,India,2.2
18,Female,32,Action,Japan,2.1
40,Female,17,Romance,China,2.0
25,Male,34,Romance,USA,2.6
52,Male,9,Comedy,China,1.8
55,Female,39,Sci-Fi,Spain,3.0
44,Male,23,Sci-Fi,Japan,3.2
43,Female,38,Horror,Germany,4.0
30,Female,4,Thriller,Germany,1.6
